,oid,expid,hjd,bjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
49,1694110100000370,100438201,2458758.8867636924,58758.386600275575,19.9758835,0.0967928693,0,zg,22.4169078,38.702958,0.649999976,0.0970000029,20191002382002,1694,0xa,0x1,21.6800003,26.1586895,0.0269959513,-0.0603224114,5.77559103e-06,30,1.01400006,2
50,1694110100000370,100438247,2458758.887226711,58758.3870632936,19.97122,0.0964758545,0,zg,22.4169359,38.7029384,1.08599997,-0.0500000007,20191002382465,1694,0xa,0x1,21.7700005,26.1720257,0.026278371,-0.0787701085,5.44484055e-06,30,1.01400006,3
51,1694110100000370,100638699,2458760.891816215,58760.391652723796,20.0414791,0.101334721,0,zg,22.4168726,38.7029911,0.411000013,0.0480000004,20191004386979,1694,0xa,0x1,21.4599991,26.1719074,0.0269620027,-0.0630181804,5.82391476e-06,30,1.023,2
52,1694110100000370,100638744,2458760.892267632,58760.39210414011,19.9551411,0.0953888595,0,zg,22.4168918,38.7029764,0.690999985,0.0419999994,20191004387442,1694,0xa,0x1,21.4099998,26.1645679,0.0284051169,-0.0467214845,6.4637652e-06,30,1.02400005,3
53,1694110100000370,100828978,2458762.794672348,58762.294508782965,20.0420818,0.101377189,0,zg,22.4167189,38.7030098,0.93599999,0.0759999976,20191006289757,1694,0xa,0x1,21.0900002,26.1593399,0.0301973447,-0.0390158929,7.53523682e-06,30,1.03900003,2
54,1694110100000370,100829023,2458762.7951237634,58762.29496019834,20.0769768,0.103855528,0,zg,22.4169585,38.7029382,0.500999987,-0.0350000001,20191006290232,1694,0xa,0x1,21.3400002,26.1582451,0.0270101167,-0.0457069203,5.99898203e-06,30,1.03799999,3
55,1694110100000370,101030333,2458764.808290659,58764.3081270176,20.0774326,0.103888147,0,zg,22.4169139,38.7029481,0.800999999,0.179000005,20191008303322,1694,0xa,0x1,21.2000008,26.1539841,0.0269570854,-0.0631860495,6.04244042e-06,30,1.01699996,2
56,1694110100000370,101030378,2458764.808742073,58764.30857843164,20.0112934,0.0992256328,0,zg,22.4169065,38.7029526,0.860000014,0.0209999997,20191008303785,1694,0xa,0x1,21.2099991,26.1578445,0.0281144232,-0.0700423345,6.47631214e-06,30,1.01600003,3
57,1694110100000370,101228937,2458766.7943909494,58766.29422722599,20.0920963,0.10494215,0,zg,22.4166914,38.7028533,1.20799994,0.0419999994,20191010289329,1694,0xa,0x1,20.3600006,26.172369,0.0340814292,-0.0482878685,1.28420161e-05,30,1.02499998,2
58,1694110100000370,101428145,2458768.786527323,58768.28636352921,19.644968,0.0763071403,0,zg,22.4168588,38.7029244,0.864000022,-0.166999996,20191012281400,1694,0xa,0x1,20.2900009,26.1525345,0.0372917168,-0.0531425104,1.74727447e-05,30,1.028,2
59,1694110100000370,101428190,2458768.786978737,58768.28681494071,20.1259613,0.107403807,0,zg,22.4170767,38.7028357,0.735000014,-0.182999998,20191012281910,1694,0xa,0x1,20.2399998,26.1435318,0.0353265144,-0.0291679259,1.57913873e-05,30,1.028,3
60,1694110100000370,102922751,2458783.7327912366,58783.232626872246,19.9554806,0.0954117328,0,zg,22.4168823,38.7029482,1.35500002,-0.061999999,20191027227500,1694,0xa,0x1,21.1100006,26.1759377,0.0347529799,-0.087754108,9.86347459e-06,30,1.046,2
